Post Number,Content,Reactions,Comments,Media Type,Image URL,Video URL,Article URL
1,"In a unique workshop inspired by the NYU Shanghai course Good Death: China and Comparative Perspectives taught by Assistant Professor of Global China Studies Zhang Liangliang, students and faculty visited Shanghai Fushou Garden to reflect on life’s profound questions. Through meditation walks, honoring influential figures, and posting their wishes, participants discovered new perspectives on living meaningfully and embracing the present. 🌼",11,0,Image,https://media.licdn.com/dms/image/v2/D5622AQEdW5EiunEmIw/feedshare-shrink_800/B56ZPOVQ0uHoAg-/0/1734333522709?e=1738195200&v=beta&t=t3qgiqqi261Vm6Y1Z8zkUpvnBhiBgFuw0qmnAzCiTuo; https://media.licdn.com/dms/image/v2/D5622AQHUwtsUU1ZoOg/feedshare-shrink_800/B56ZPOVQ0jGsAg-/0/1734333517693?e=1738195200&v=beta&t=jjHmGT9HgGo2a0Rd0e1MbO9P1h4xQ_1a4rDBg97ewo0; https://media.licdn.com/dms/image/v2/D5622AQHp-Ke2k99sCQ/feedshare-shrink_800/B56ZPOVQ1aG4Ag-/0/1734333522679?e=1738195200&v=beta&t=6LpNAYXFhhGcL8Ylq8loPV9OmDi9NKBcHgQPi4SWkmc; https://media.licdn.com/dms/image/v2/D5622AQGH8ZdcnMvY1g/feedshare-shrink_800/B56ZPOVQ1BGkAk-/0/1734333522552?e=1738195200&v=beta&t=O8rkw3an_ik2WHaW5-_6JBnd8Ac0sL6oq1hSNAiD2vw,No videos,No links
2,"💡 With over 20% of students enrolled in PCI courses, Adam Brandenburger is redefining how NYU Shanghai fosters innovation and creativity. Now, he’s the recipient of the 2024 Shanghai Magnolia Silver Award!   https://lnkd.in/g5mN5cAT",65,2,Image,https://media.licdn.com/dms/image/v2/D5622AQFkK_EJR0mhIw/feedshare-shrink_800/feedshare-shrink_800/0/1733194706331?e=1738195200&v=beta&t=3_XIuYOOaneN8xgtMTiZX8Zi-r8nwYiaZEuZp5WYbRE,No videos,https://lnkd.in/g5mN5cAT
3,"Acclaimed architect and Time magazine’s “100 Most Influential People” honoree Wang Shu spoke at NYU Shanghai’s Green Court Distinguished Lecture Series, reflecting on the art of preserving history through architecture. Discover the highlights here:   https://lnkd.in/gcDfFXfQ",6,1,Image,https://media.licdn.com/dms/image/v2/D5622AQGD6jT3CGUbZQ/feedshare-shrink_800/feedshare-shrink_800/0/1733192886032?e=1738195200&v=beta&t=VQ6sM9BWtEdJln307A0Tr9W2oPZr928WsbVk1eBd6j0,No videos,https://lnkd.in/gcDfFXfQ
4,"🎉 Fall 2024 ended on a high note with a celebration of creativity and achievement! 🎶 Across campus, students shared their talent and hard work through dynamic performances and exhibitions, bringing the arts to life and demonstrating the unique spirit of our community. 💜",1,0,Text,No images,No videos,No links
5,"Our 2024 Fall Career Fair featured: ➕200 full-time job and internship offers ➕50 companies from over 15 industries 🤝 Tons of excited NYU Shanghai students looking for new opportunities! Many thanks to NYU Shanghai Center for Career Development, Lujiazui Financial City, and SPSP Venture Capital for hosting this event on campus.",35,2,Image,https://media.licdn.com/dms/image/v2/D5622AQGMqz6zE6K6CQ/feedshare-shrink_800/feedshare-shrink_800/0/1730187292092?e=1738195200&v=beta&t=qblOpZt-NYWs7K-UO6M2n6m1C5wkP8Uma9re1UZMC10; https://media.licdn.com/dms/image/v2/D5622AQGJotoUHulbAA/feedshare-shrink_800/feedshare-shrink_800/0/1730187290767?e=1738195200&v=beta&t=rXfe2ZhE--b_KZHE6gD96agMJRX08Seae4tcrCTepmA; https://media.licdn.com/dms/image/v2/D5622AQFBRqP7APR1gA/feedshare-shrink_800/feedshare-shrink_800/0/1730187290893?e=1738195200&v=beta&t=cbFylRGceuRuoi2D7v-9WiV8r9bPyxBC8t4FVFYluwg; https://media.licdn.com/dms/image/v2/D5622AQFdxrMY5K_lXg/feedshare-shrink_800/feedshare-shrink_800/0/1730187292432?e=1738195200&v=beta&t=AbRpOSoMy2b37nRBHZrRKSDHZ1Q_VjcOtVS5j68a6tU,No videos,No links
6,"Congratulations to Ruby Rich ’24, who is currently pursuing a   Fulbright Austria   English Teaching Assistantship! 🌟 Teaching at two secondary schools in Austria, Ruby inspires students aged 10 to 18 by blending education with cultural exchange. A Social Science graduate with a passion for learning, Ruby’s journey—from NYU Shanghai to Germany and now Austria—exemplifies the power of global experiences.",3,0,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQEaMfCEg4fNWQ/articleshare-shrink_480/articleshare-shrink_480/0/1734061129668?e=1736175600&v=beta&t=3qzdTRu3_RM2WNSbT7H9DJRJU4Afw2EmDpy6aMoitGM,No videos,https://www.linkedin.com/company/the-austrian-american-educational-commission-fulbright-austria-/
7,"As the semester comes to a close, faculty and students share their experiences in some of the most innovative new courses on offer this year from Topics in Machine Learning-Deep Learning to Good Death: China and Comparative Perspectives.   hashtag # NYUShanghai   hashtag # NewCourses",6,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQHnrefAp7e7hA/articleshare-shrink_480/articleshare-shrink_480/0/1733980206094?e=1736175600&v=beta&t=Jr0UJMsJrq1mXyIgo_pj8Mnp-MO9lGhX6A-0oAXW7d0,No videos,https://www.linkedin.com/feed/hashtag/?keywords=newcourses&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7272840270918905857; https://www.linkedin.com/feed/hashtag/?keywords=nyushanghai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7272840270918905857
8,"Thank you to our amazing students, faculty, and staff for making NYU Shanghai a thriving community of diverse perspectives and ideas over the past 12 years! Cheers to many more years of learning, growing, and leading together.   hashtag # HappyBirthday   hashtag # NYUShanghai",98,2,Image,https://media.licdn.com/dms/image/v2/D5622AQEGewBM87Ef2w/feedshare-shrink_800/feedshare-shrink_800/0/1729049133583?e=1738195200&v=beta&t=qs2M833GJv3f4a4TkEJb7Sj_a7Ogq__GDghgGXODAOQ; https://media.licdn.com/dms/image/v2/D5622AQF5qlUHLkCKrA/feedshare-shrink_800/feedshare-shrink_800/0/1729049134552?e=1738195200&v=beta&t=8i33rvB5-1LstsTTTinGbidBr1YygNLI2zDMWehP8O8,No videos,https://www.linkedin.com/feed/hashtag/?keywords=happybirthday&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7252157708248743936; https://www.linkedin.com/feed/hashtag/?keywords=nyushanghai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7252157708248743936
9,"Every name that appears in NYU Shanghai’s interactive installation, “The Box,” tells a story of generosity and connection to the university. Join Angelina Ye Lin ’18 as she returns to campus to find her name on the donor honor roll—a lasting mark in NYU Shanghai’s story of growth.",34,1,Video,No images,https://dms.licdn.com/playlist/vid/dynamic/D5605AQHuNjYB58z2cw/BAgx0RzerNwIm_XIYLk?e=1736175600&v=beta&t=EVpiaRjLhGzeLF9YCWpGkVCLBRV_EzUsOm90iA5MNBc,No links
10,"NYU Shanghai’s Qilins showed off their athleticism and sportsmanship in basketball, badminton, volleyball, soccer, tennis, and table tennis as they faced off against   The University of Nottingham Ningbo China   and   Duke Kunshan University   for the Sino-Foreign University Cup!   hashtag # SFUC   hashtag # NYUShanghai   hashtag # Athletics",5,0,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQFEoH8-OlG7aw/articleshare-shrink_480/articleshare-shrink_480/0/1733729394252?e=1736175600&v=beta&t=6sqbnV_1GpjVWJ3MojocF4HEQaqWEZwsqECBTC25Ugo,No videos,https://www.linkedin.com/company/university-of-nottingham-ningbo-china/; https://www.linkedin.com/company/duke-kunshan-university/; https://www.linkedin.com/feed/hashtag/?keywords=sfuc&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7271788543851552768; https://www.linkedin.com/feed/hashtag/?keywords=athletics&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7271788543851552768; https://www.linkedin.com/feed/hashtag/?keywords=nyushanghai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7271788543851552768
